OEX
XEO
SPX
XSP
DJX
NDX
RUT
VIX
AGQ
ASHR
DIA
DUST
DXJ
EEM
EFA
EPI
ERX
EWG
EWJ
EWW
EWZ
FAS
FAZ
FEZ
FXE
FXI
FXY
GDX
GDXJ
GLD
GREK
HACK
HEDJ
HYG
IBB
ITB
IWM
IYR
JNUG
KRE
MDY
NUGT
OIH
QQQ
RSX
SCO
SDS
SLV
SPY
SSO
SVXY
TBT
TLT
TNA
TQQQ
TZA
UCO
UNG
UPRO
USO
UUP
UVXY
VWO
VXX
XBI
XHB
XLB
XLE
XLF
XLI
XLK
XLP
XLU
XLV
XLY
XME
XOP
XRT
YANG
AA
AAL
AAPL
ABBV
ABT
ABX
ACHN
ACN
ADM
AEO
AET
AGN
AGNC
AGU
AIG
AKAM
AKS
ALXN
AMAT
AMBA
AMD
AMGN
AMRN
AMT
AMZN
ANF
ANTM
APA
APC
ARIA
ARNA
ATHN
ATVI
AUY
AVGO
AVP
AXP
AZN
BA
BABA
BAC
BAX
BBBY
BBRY
BBY
BHI
BIDU
BIIB
BK
BMY
BP
BRK/B
BX
C
CALM
CAT
CBI
CBS
CCJ
CELG
CF
CHK
CHTR
CIEN
CL
CLF
CMCSA
CME
CMG
CMI
COF
COH
COP
COST
CREE
CRM
CRUS
CSCO
CSIQ
CTRP
CTSH
CVS
CVX
CYBR
CYH
CZR
DAL
DATA
DD
DDD
DE
DECK
DFS
DG
DHI
DIS
DISH
DOW
DVN
DWA
EA
EBAY
EMC
EMES
ENDP
EOG
EPD
ESRX
ETE
ETFC
ETN
EXPE
F
FB
FCX
FDX
FEYE
FFIV
FIT
FLR
FOSL
FOXA
FSLR
GALE
GE
GG
GILD
GLW
GM
GME
GNW
GOGO
GOOG
GOOGL
GPRO
GPS
GRPN
GS
GT
HAL
HAS
HCA
HD
HES
HFC
HIG
HIMX
HK
HLF
HOT
HPE
HPQ
HTZ
HUM
IBM
ICPT
ILMN
INTC
INVN
IOC
IONS
IP
ISRG
JAZZ
JCP
JD
JNJ
JNPR
JOY
JPM
KGC
KMI
KNDI
KO
KORS
KSU
LINE
LL
LLY
LNG
LNKD
LOCO
LULU
LUV
LVS
M
MA
MAT
MBI
MBLY
MCD
MDT
MDVN
MET
MGM
MMM
MNK
MNKD
MNST
MO
MOMO
MON
MOS
MPC
MPEL
MRK
MRO
MRVL
MS
MSFT
MTG
MU
MYGN
MYL
NAV
NE
NEM
NFLX
NKE
NLY
NOK
NOV
NOW
NQ
NSC
NTAP
NTES
NUE
NUS
NVDA
NXPI
OLN
OPK
ORCL
OUTR
OXY
P
PANW
PBR
PBYI
PCLN
PEP
PFE
PG
PHM
PLUG
PM
POT
PRGO
PSX
PXD
PYPL
QCOM
QLIK
RACE
RAD
RAX
REGN
RH
RIG
RL
RLYP
S
SBUX
SCTY
SDRL
SFUN
SHAK
SHLD
SHPG
SIRI
SKX
SLB
SLW
SNDK
SNE
SODA
SPLK
SPLS
SPWR
SRPT
SSYS
STMP
STX
SU
SWKS
SYF
SYMC
SYNA
T
TASR
TCK
TERP
TEVA
TGT
THC
TIF
TMUS
TOL
TRIP
TRN
TSLA
TSN
TSO
TTM
TWTR
TWX
TXN
UA
UAC
UAL
ULTA
UNH
UNP
UPS
URI
USB
UTX
V
VALE
VER
VIAB
VIPS
VLO
VMW
VNET
VOD
VRTX
VRX
VZ
W
WBA
WDAY
WDC
WFC
WFM
WFT
WHR
WLL
WMB
WMT
WTW
WY
WYNN
X
XLNX
XOM
XON
YELP
YHOO
YNDX
YPF
YUM
YY
Z
ZG
ZNGA
ZTS
