LVS
AMGN
DWA
ABBV
WMB
XOM
CALM
BK
NTAP
ABT
BX
V
QLIK
VLO
NVDA
SU
VRTX
INTC
LNKD
DD
EMC
OUTR
CSCO
MNK
NTES
UNP
GM
AGN
SWKS
MON
TMUS
PEP
HFC
UPS
AIG
NSC
IP
AZN
MRK
CRUS
QCOM
WFC
FDX
KO
USB
BMY
ETN
TRN
MS
ORCL
JOY
MET
JPM
MBLY
COST
IOC
GILD
