AAL
AAPL
ABBV
ABT
ABX
ACN
ADM
AET
AGN
AGU
AIG
AKAM
ALXN
AMAT
AMBA
AMGN
AMT
AMZN
ANTM
APA
APC
ATHN
ATVI
AVGO
AXP
AZN
BA
BABA
BAX
BBBY
BBY
BHI
BIDU
BIIB
BK
BMY
BP
BX
C
CALM
CAT
CBI
CBS
CELG
CF
CHTR
CL
CMCSA
CME
CMG
CMI
COF
COH
COP
COST
CREE
CRM
CRUS
CSCO
CTRP
CTSH
CVS
CVX
CYBR
DAL
DATA
DD
DE
DECK
DFS
DG
DHI
DIS
DISH
DOW
DVN
EA
EBAY
EOG
EPD
ESRX
ETFC
ETN
EXPE
FB
FDX
FFIV
FLR
FOSL
FOXA
FSLR
GE
GILD
GLW
GM
GME
GOOG
GOOGL
GPS
GS
GT
HAL
HAS
HCA
HD
HES
HFC
HIG
HLF
HOT
HUM
IBM
ICPT
ILMN
INTC
IOC
IONS
IP
ISRG
JAZZ
JD
JNJ
JNPR
JOY
JPM
KMI
KO
KORS
KSU
LLY
LNG
LNKD
LULU
LUV
LVS
M
MA
MAT
MBLY
MCD
MDT
MDVN
MET
MGM
MMM
MNK
MNST
MO
MON
MOS
MPC
MRK
MS
MSFT
MYGN
MYL
NEM
NFLX
NKE
NOV
NOW
NSC
NTAP
NTES
NUE
NUS
NVDA
NXPI
OLN
ORCL
OUTR
OXY
PANW
PBYI
PCLN
PEP
PFE
PG
PHM
PM
PRGO
PSX
PXD
PYPL
QCOM
RACE
RAX
REGN
RH
RL
SBUX
SCTY
SHAK
SHPG
SKX
SLB
SLW
SNE
SODA
SPLK
SRPT
SSYS
STMP
STX
SU
SWKS
SYF
SYMC
SYNA
T
TASR
TEVA
TGT
THC
TIF
TMUS
TOL
TRIP
TRN
TSLA
TSN
TSO
TTM
TWX
TXN
UA
UAL
ULTA
UNH
UNP
UPS
URI
USB
UTX
V
VIAB
VLO
VMW
VOD
VRTX
VRX
VZ
W
WBA
WDAY
WDC
WFC
WFM
WHR
WMB
WMT
WY
WYNN
X
XLNX
XOM
XON
YELP
YHOO
YNDX
YUM
YY
Z
ZG
ZTS
