AAL
AAPL
ABBV
ABT
ABX
ACN
ADM
AET
AGN
AGU
AIG
AKAM
ALXN
AMAT
AMBA
AMGN
AMT
AMZN
ANTM
APA
APC
ARIA
ARNA
ATHN
ATVI
AUY
AVGO
AVP
AXP
AZN
BA
BABA
BAC
BAX
BBBY
BBRY
BBY
BHI
BIDU
BIIB
BK
BMY
BP
BX
C
CALM
CAT
CBI
CBS
CCJ
CELG
CF
CHK
CHTR
CIEN
CL
CLF
CMCSA
CME
CMG
CMI
COF
COH
COP
COST
CREE
CRM
CRUS
CSCO
CSIQ
CTRP
CTSH
CVS
CVX
CYBR
CYH
CZR
DAL
DATA
DD
DDD
DE
DECK
DFS
DG
DHI
DIS
DISH
DOW
DVN
EA
EBAY
EMC
EMES
ENDP
EOG
EPD
ESRX
ETE
ETFC
ETN
EXPE
F
FB
FCX
FDX
FEYE
FFIV
FIT
FLR
FOSL
FOXA
FSLR
GALE
GE
GG
GILD
GLW
GM
GME
GNW
GOGO
GOOG
GOOGL
GPRO
GPS
GRPN
GS
GT
HAL
HAS
HCA
HD
HES
HFC
HIG
HIMX
HK
HLF
HOT
HPE
HPQ
HUM
IBM
ICPT
ILMN
INTC
INVN
IOC
IONS
IP
ISRG
JAZZ
JCP
JD
JNJ
JNPR
JOY
JPM
KGC
KMI
KNDI
KO
KORS
KSU
LL
LLY
LNG
LNKD
LOCO
LULU
LUV
LVS
M
MA
MAT
MBI
MBLY
MCD
MDT
MDVN
MET
MGM
MMM
MNK
MNKD
MNST
MO
MOMO
MON
MOS
MPC
MPEL
MRK
MRO
MRVL
MS
MSFT
MTG
MU
MYGN
MYL
NAV
NE
NEM
NFLX
NKE
NLY
NOK
NOV
NOW
NQ
NSC
NTAP
NTES
NUE
NUS
NVDA
NXPI
OLN
ORCL
OUTR
OXY
P
PANW
PBR
PBYI
PCLN
PEP
PFE
PG
PHM
PLUG
PM
POT
PRGO
PSX
PXD
PYPL
QCOM
RACE
RAD
RAX
REGN
RH
RIG
RL
RLYP
S
SBUX
SCTY
SDRL
SFUN
SHAK
SHLD
SHPG
SIRI
SKX
SLB
SLW
SNE
SODA
SPLK
SPLS
SPWR
SRPT
SSYS
STMP
STX
SU
SWKS
SYF
SYMC
SYNA
T
TASR
TCK
TERP
TEVA
TGT
THC
TIF
TMUS
TOL
TRIP
TRN
TSLA
TSN
TSO
TTM
TWTR
TWX
TXN
UA
UAC
UAL
ULTA
UNH
UNP
UPS
URI
USB
UTX
V
VALE
VER
VIAB
VIPS
VLO
VMW
VNET
VOD
VRTX
VRX
VZ
W
WBA
WDAY
WDC
WFC
WFM
WFT
WHR
WLL
WMB
WMT
WTW
WY
WYNN
X
XLNX
XOM
XON
YELP
YHOO
YNDX
YPF
YUM
YY
Z
ZG
ZNGA
ZTS
